apartment_sale_PSF_PPU_mean,apartment_sale_PricePerLandSqFt_mean,apartment_sale_PSF_PPU_median,apartment_sale_PricePerLandSqFt_median,office_sale_PSF_PPU_mean,office_sale_PricePerLandSqFt_mean,office_sale_PSF_PPU_median,office_sale_PricePerLandSqFt_median,apartment_refinance_PSF_PPU_mean,apartment_refinance_PricePerLandSqFt_mean,apartment_refinance_PSF_PPU_median,apartment_refinance_PricePerLandSqFt_median,office_ref_PSF_PPU_mean,office_ref_PricePerLandSqFt_mean,office_ref_PSF_PPU_median,office_ref_PricePerLandSqFt_median,fips
358169.2,631.5967667,384090.9,412.8857,,,,,500000,1442.169,500000,1442.169,,,,,6001400200
476839.85,1167.50605,476839.85,1167.50605,,,,,177489.15,408.00865,177489.15,408.00865,,,,,6001400300
220238.1,550.92595,220238.1,550.92595,,,,,,,,,,,,,6001400400
185714.3,63.0762,185714.3,63.0762,,,,,,,,,,,,,6001400900
301831.575,700.474225,274114.6,601.9121,350.74895,196.2419,350.74895,196.2419,203541.675,861.58475,167500,587.31145,,,,,6001401100
248192.3,500.71575,248192.3,500.71575,361.9017667,149.797,313.9389,129.9444,,,,,,,,,6001401200
174575.875,467.0987375,147006.6,404.91575,442.9063571,361.8751857,396.5692,377.7778,305520.8,863.561675,251433.7,597.0883,137.16985,231.348,137.16985,231.348,6001401300
303333.3,260,303333.3,260,,,,,617500,529.2857,617500,529.2857,,,,,6001401400
128076.9,339.8015,128076.9,339.8015,404.8,244.0436,404.8,244.0436,96794.86,262.665,96794.86,262.665,,,,,6001401500
285714.3,363.3457,285714.3,363.3457,,,,,188863.65,357.69255,188863.65,357.69255,,,,,6001402400
468254,385.8842,468254,385.8842,,,,,208174.6,171.555,208174.6,171.555,,,,,6001402500
107692.3,105.1841,107692.3,105.1841,,,,,,,,,268.6953,147.7487,268.6953,147.7487,6001402600
144916.65,819.67195,144916.65,819.67195,,,,,167772.7,326.63715,167772.7,326.63715,,,,,6001402700
400125,1818.22,500000,2208.835,334.4524538,1907.041985,357.1429,1095.269,138888.9,937.4707,138888.9,937.4707,542.90045,1193.6234,542.90045,1193.6234,6001402800
151794.3083,706.15705,143082.45,544.28055,297.9829892,1060.944619,284.8787,775.8428,152891.975,627.327275,143216.25,609.0761,245.8281286,1135.567929,216.0574,923.46515,6001402900
