net_metering,feedin_tariff,cooperate_tax,property_tax,sales_tax,rebate,avg_electricity_retail_rate,incentive_count_residential,incentive_count_nonresidential,incentive_residential_state_level,incentive_nonresidential_state_level,average_household_size,housing_unit_median_gross_rent,housing_unit_median_value,average_household_income,gini_index,population_density,poverty_family_below_poverty_level_rate,employ_rate,race_asian_rate,race_black_africa_rate,race_white_rate,race_indian_alaska_rate,race_islander_rate,race_two_more_rate,diversity,heating_fuel_coal_coke_rate,heating_fuel_electricity_rate,heating_fuel_solar_rate,heating_fuel_fuel_oil_kerosene_rate,heating_fuel_gas_rate,heating_fuel_none_rate,electricity_price_residential,voting_2016_dem_percentage,voting_2016_gop_percentage,education_less_than_high_school_rate,education_high_school_graduate_rate,education_college_rate,education_bachelor_rate,education_master_rate,education_professional_school_rate,education_doctoral_rate,age_18_24_rate,age_25_34_rate,age_more_than_85_rate,age_75_84_rate,age_35_44_rate,age_45_54_rate,age_65_74_rate,age_55_64_rate,age_10_14_rate,age_15_17_rate,age_5_9_rate,household_type_family_rate,dropout_16_19_inschool_rate,occupation_construction_rate,occupation_public_rate,occupation_information_rate,occupation_finance_rate,occupation_education_rate,occupation_administrative_rate,occupation_manufacturing_rate,occupation_wholesale_rate,occupation_retail_rate,occupation_transportation_rate,occupation_arts_rate,occupation_agriculture_rate,occupancy_vacant_rate,occupancy_owner_rate,mortgage_with_rate,transportation_home_rate,transportation_car_alone_rate,transportation_walk_rate,transportation_carpool_rate,transportation_motorcycle_rate,transportation_bicycle_rate,transportation_public_rate,travel_time_less_than_10_rate,travel_time_10_19_rate,travel_time_20_29_rate,travel_time_30_39_rate,travel_time_40_59_rate,travel_time_60_89_rate,health_insurance_public_rate,health_insurance_none_rate,age_median,travel_time_average,number_of_years_of_education,fips
21,9,0,38,0,10,14.72,75,85,15,16,2.71,1797,1006700,165388.2387,0.4708,5906.13,0.009795918,0.959256612,0.121387283,0.010276172,0.825733248,0,0.006636694,0.026760865,0.302479196,0.015213575,0.104154476,0.00702165,0,0.860737273,0.012873025,16.99,0.763759178,0.186891085,0.057228018,0.148733234,0.2414307,0.291207154,0.151415797,0.06438152,0.045603577,0.073431813,0.103189895,0.026332691,0.033825733,0.138086063,0.178976665,0.102547634,0.135302933,0.045386427,0.026546778,0.056090773,0.716793446,1,0.02757079,0.033159463,0.071535022,0.091654247,0.204545455,0.150894188,0.112146051,0.016393443,0.054023845,0.026825633,0.102086438,0,0.020630372,0.77765043,0.77229182,0.057380143,0.804454511,0.023027558,0.070215176,0,0.014345036,0.022650057,0.134561474,0.207849419,0.2639167,0.219863837,0.114937926,0.054064878,0.170418006,0.034512326,42.7,24,15.3171386,6081609800
21,9,0,38,0,10,14.72,75,85,15,16,2.85,2486,1041800,186743.4296,0.3653,6277.368,0.024009604,0.957565606,0.046594982,0.000651678,0.843271424,0,0,0.083740632,0.279046681,0,0.085740913,0,0,0.914259087,0,16.99,0.763759178,0.186891085,0.033780657,0.112910689,0.237852846,0.331790838,0.187875983,0.065247571,0.030541416,0.060280222,0.086999022,0.015966113,0.04724666,0.129032258,0.187683284,0.103942652,0.133268166,0.085369827,0.039426523,0.072987944,0.776328052,1,0.027988338,0.042565598,0.026822157,0.083965015,0.204081633,0.222157434,0.110204082,0,0.07638484,0.018658892,0.15335277,0,0.043672014,0.85828877,0.782969886,0.062764031,0.816535908,0.007845504,0.050090525,0,0.007242004,0.038020519,0.162910496,0.287186091,0.255634256,0.103670316,0.141017386,0.0386349,0.205278592,0.064841968,43.8,23,15.65710319,6081609900
21,9,0,38,0,10,14.72,75,85,15,16,2.24,1511,1058200,121167.7356,0.4564,8609.903,0.00867052,0.943441227,0.097842667,0.016125518,0.791239922,0,0,0.033558509,0.359230466,0.011346818,0.234829798,0,0,0.72126295,0.025653675,16.99,0.763759178,0.186891085,0.075569657,0.132967984,0.201615229,0.372656475,0.139025094,0.034612057,0.043553504,0.057528873,0.165613423,0.022009152,0.032904772,0.169535847,0.209631728,0.063630421,0.092176945,0.056875136,0.038788407,0.054260187,0.512086828,1,0.027807873,0.020223908,0.059588299,0.061032864,0.270494763,0.165402672,0.075839653,0.007945107,0.145178765,0.006139401,0.088118454,0.004333694,0.044318718,0.428571429,0.760176018,0.07715024,0.722775932,0.029162052,0.054263566,0,0.034330011,0.080103359,0.1036,0.284,0.2756,0.196,0.0864,0.0372,0.180525164,0.077680525,41,23,15.12921834,6081610000
21,9,0,38,0,10,14.72,75,85,15,16,3.45,1368,605400,65278.57547,0.4777,11028.09,0.210526316,0.94608985,0.068267189,0.060264576,0.590396864,0.004899559,0,0.012575535,0.573474168,0.004522329,0.348784624,0,0,0.611644997,0.03504805,16.99,0.763759178,0.186891085,0.347464449,0.262677757,0.218674537,0.11242286,0.028172793,0.019318487,0.011269117,0.083129185,0.189939572,0.006369427,0.020741467,0.143230443,0.098481137,0.05863139,0.091295117,0.094071534,0.042626164,0.097991181,0.633691351,1,0.097080549,0.017587056,0.006683081,0.046429828,0.115019346,0.183608864,0.10376363,0.042208934,0.117129792,0.014421386,0.169187478,0.011255716,0.058040469,0.236421725,0.725225225,0.001069138,0.701354241,0.090520314,0.109408411,0.001425517,0.021026372,0.070919458,0.190866928,0.277559757,0.181591152,0.233321441,0.075276489,0.025330004,0.425089957,0.193326791,30.5,22,11.94150792,6081610201
21,9,0,38,0,10,14.72,75,85,15,16,2.09,1361,341700,68549.15254,0.4845,3364.955,0.202020202,0.922976501,0.105096978,0.088407758,0.50338295,0.00496166,0.00541272,0.052774019,0.667322606,0,0.470338983,0,0.005649718,0.488700565,0.035310734,16.99,0.763759178,0.186891085,0.220121951,0.232317073,0.268902439,0.170121951,0.06097561,0.030487805,0.017073171,0.119530898,0.282363554,0.00360848,0.057735679,0.110509698,0.109156518,0.059990979,0.116373478,0.01984664,0.00947226,0.036986919,0.419491525,0.589285714,0.046676096,0.025459689,0.046676096,0.063649222,0.142857143,0.224893918,0.09476662,0.007072136,0.155586987,0.005657709,0.155586987,0.015558699,0.14801444,0.050541516,0.714285714,0.027142857,0.524285714,0.155714286,0.094285714,0,0.024285714,0.162857143,0.164464023,0.342143906,0.162995595,0.123348018,0.110132159,0.085168869,0.39418526,0.056118999,34.1,23,13.13170732,6081610202
21,9,0,38,0,10,14.72,75,85,15,16,3.68,1432,609800,61078.63806,0.3962,17001.12,0.211111111,0.933216169,0.030653266,0.029648241,0.557537688,0.020100503,0.011306533,0.022361809,0.578459887,0,0.376865672,0,0,0.569029851,0.054104478,16.99,0.763759178,0.186891085,0.465747872,0.230239157,0.166193758,0.114308877,0.012565869,0,0.010944467,0.108040201,0.239949749,0.006030151,0.013316583,0.153015075,0.127135678,0.033668342,0.046733668,0.046733668,0.037939698,0.096231156,0.671641791,0.941176471,0.13700565,0.012241055,0.013653484,0.028248588,0.139359699,0.167137476,0.042843691,0.005649718,0.096045198,0.016007533,0.240583804,0.007062147,0.035971223,0.085431655,0.673684211,0.010576923,0.580769231,0.027884615,0.200961538,0,0.050480769,0.103365385,0.04664723,0.389698737,0.249271137,0.207482993,0.077259475,0.013605442,0.401758794,0.269849246,29.4,23,11.10052696,6081610203
21,9,0,38,0,10,14.72,75,85,15,16,2.32,2128,819600,144009.4766,0.4094,3129.392,0,0.949047225,0.346335697,0.043735225,0.530732861,0.002836879,0,0.055791962,0.592917638,0.007162534,0.372451791,0,0,0.608264463,0.012121212,16.99,0.763759178,0.186891085,0.039137134,0.081972265,0.236979969,0.350693374,0.188906009,0.036671803,0.065639445,0.030732861,0.081323877,0.015839243,0.044208038,0.206855792,0.167375887,0.113475177,0.138061466,0.04822695,0.036879433,0.047044917,0.616528926,0.905660377,0.041030118,0.040157137,0.041466608,0.080750764,0.189436927,0.231340026,0.137494544,0.025752946,0.075512876,0.029681362,0.031427324,0.010475775,0.014122759,0.772949484,0.814476458,0.062750334,0.781931464,0.016911437,0.071206053,0.00400534,0.01023587,0.048064085,0.137226971,0.251661918,0.206552707,0.166666667,0.14957265,0.074074074,0.205673759,0.024822695,43.9,26,15.77442219,6081610304
21,9,0,38,0,10,14.72,75,85,15,16,3.61,1675,594200,83898.79171,0.4341,16131.23,0.093252464,0.94402277,0.031547242,0.054216867,0.56214331,0.005389981,0.022986684,0.019974635,0.58684501,0,0.207134638,0,0,0.788262371,0.004602992,16.99,0.763759178,0.186891085,0.338421734,0.206209573,0.275032342,0.111254851,0.039327296,0.023544631,0.006209573,0.097019658,0.172320862,0.007450856,0.017596703,0.140615092,0.134908053,0.037729867,0.102092581,0.082752061,0.041058973,0.086081167,0.758918297,0.925423729,0.12160804,0.028475712,0.008040201,0.048241206,0.157453936,0.168844221,0.112227806,0.02680067,0.169849246,0.018425461,0.070686767,0.011390285,0.034444444,0.357222222,0.892690513,0.057573681,0.72172721,0.015764222,0.147703907,0.004797807,0.02159013,0.010966415,0.103636364,0.304727273,0.247272727,0.197090909,0.050545455,0.077090909,0.361604312,0.219086874,32.2,25,12.14514877,6081610400
21,9,0,38,0,10,14.72,75,85,15,16,3.76,1373,397000,67061.32841,0.3984,10963.78,0.200211864,0.936373277,0.077799228,0.006177606,0.638610039,0.012934363,0.063513514,0.01969112,0.548637021,0,0.213284133,0,0,0.735793358,0.033948339,16.99,0.763759178,0.186891085,0.393467186,0.234342224,0.247228049,0.06592748,0.039556488,0.005094396,0.014384177,0.076833977,0.214864865,0.002702703,0.032432432,0.134942085,0.118146718,0.025675676,0.115444015,0.079343629,0.051737452,0.078957529,0.696678967,1,0.117780294,0.012835032,0.011702529,0.036617592,0.176670442,0.146470366,0.080785202,0.033220083,0.145715364,0.037750094,0.121177803,0,0.024478042,0.555075594,0.62386511,0.0268587,0.660568315,0.052938887,0.182172051,0,0.028415726,0.023355391,0.0412,0.3712,0.2492,0.1984,0.122,0.0148,0.346718147,0.252123552,30.7,23,11.59694336,6081610500
21,9,0,38,0,10,14.72,75,85,15,16,3.64,1448,548400,70230.12195,0.4275,16743.04,0.237864078,0.916,0.042976589,0.003511706,0.584280936,0.006688963,0,0.015551839,0.536067829,0,0.242682927,0,0.004878049,0.706097561,0.046341463,16.99,0.763759178,0.186891085,0.418171714,0.27729925,0.144484579,0.071408725,0.069185885,0.009169214,0.010280634,0.095652174,0.166889632,0.005183946,0.009531773,0.158528428,0.161538462,0.037625418,0.062541806,0.096822742,0.043812709,0.07541806,0.753658537,0.857142857,0.149479342,0.014108163,0.010077259,0.059119919,0.127981189,0.227410144,0.060127645,0.011756802,0.074571716,0.028888142,0.116560296,0.024857239,0.019138756,0.235047847,0.8956743,0.035130435,0.633391304,0.027130435,0.157217391,0,0.04,0.066434783,0.146359048,0.296322999,0.318312906,0.116077866,0.086157174,0.024152848,0.41270903,0.27090301,31.4,22,11.49208113,6081610601
